index	position
1	63
2	154
3	167
4	423
5	839
6	893
7	903
8	947
9	953
10	965
11	995
12	1058
13	1076
14	1148
15	1316
16	1320
17	1349
18	1367
19	1388
20	1505
21	1553
22	1625
23	2346
24	2559
25	3009
26	3098
27	3160
28	3163
29	3261
30	3264
31	3357
32	3456
33	3480
34	3495
35	3504
36	3507
37	3555
38	3567
39	3873
40	4032
41	4167
42	4445
43	4670
44	4687
45	5700
46	6008
47	6068
48	6209
49	6504
50	6587
51	6596
52	6803
53	6816
54	6839
55	6860
56	6869
57	6883
58	6893
59	6912
60	6991
61	7156
62	7405
63	7908
64	8052
65	8621
66	8727
67	8823
68	8925
69	8930
70	9045
71	9164
72	9204
73	9285
74	9357
75	9384
76	9402
77	9564
78	9574
79	9598
80	9612
81	9615
82	9711
83	9717
84	9765
85	10104
86	10278
87	10344
88	10347
89	10471
90	10593
91	11055
92	11058
93	11223
94	11283
95	11319
96	11345
97	11466
98	11565
99	11607
100	11624
101	11763
102	11790
103	11886
104	11988
105	12120
106	12145
107	12213
108	12258
109	12273
110	12363
111	12368
112	12369
113	12806
114	12896
115	13064
116	13136
117	13226
118	13367
119	13593
120	13668
121	13857
122	13917
123	14107
124	14146
125	14286
126	14312
127	14408
128	14459
129	14480
130	14513
131	14540
132	14633
133	14729
134	14756
135	15119
136	15270
137	15617
138	15803
139	15910
140	15952
141	16114
142	16138
143	16183
144	16277
145	16278
146	16333
147	16432
148	16464
149	16473
150	16514
151	16524
152	16548
153	16580
154	16596
155	16635
156	16654
157	16691
158	16810
159	16820
160	16827
161	16859
162	16915
163	16980
164	16990
165	17053
166	17062
167	17092
168	17109
169	17276
170	17281
171	17285
172	17303
173	17319
174	17399
175	17408
176	17463
177	17474
178	17591
179	17597
180	17768
181	17864
182	17972
183	18223
184	18272
185	18280
186	18281
187	18293
188	18308
189	18311
190	18316
191	18326
192	18371
193	18413
194	18722
195	18818
196	18832
197	18902
198	18962
199	18971
200	18977
201	19001
202	19019
203	19055
204	19220
205	19266
206	19272
207	19359
208	19367
209	19403
210	19430
211	19489
212	19493
213	19583
214	19601
215	19661
216	19757
217	19931
218	19997
219	20091
220	20107
221	20149
222	20154
223	20215
224	20263
225	20427
226	20472
227	20503
228	20614
229	20773
230	20803
231	20830
232	20902
233	21208
234	21226
235	21322
236	22317
237	22347
238	22554
239	22581
240	22828
241	22866
242	22871
243	22913
244	23004
245	23042
246	23107
247	23132
248	23339
249	23374
250	23429
251	23464
252	23486
253	23666
254	23690
255	23789
256	23879
257	24459
258	24534
259	24592
260	25273
261	25351
262	25366
263	25372
264	25375
265	25387
266	25402
267	25432
268	25444
269	26050
270	26076
271	26128
272	26254
273	26350
274	26359
275	26458
276	26679
277	26692
278	26722
279	26818
280	26929
281	26980
282	27019
283	27023
284	27106
285	27146
286	27184
287	27205
288	27219
289	27247
290	27260
291	27373
292	27472
293	27496
294	27517
295	27520
296	27546
297	27571
298	27574
299	27669
300	27747
301	27792
302	27996
303	28011
304	28017
305	28287
306	28293
307	28440
308	28552
309	28619
310	28633
311	28639
312	28667
313	28671
314	28673
315	28758
316	28763
317	28769
318	28855
319	28955
320	28957
321	29029
322	29182
323	29194
324	29218
325	29272
326	29350
327	29555
328	29556
329	29673
330	29770
331	30007
332	30062
333	30070
334	30075
335	30087
336	30088
337	30091
338	30116
339	30218
340	30228
341	30321
342	30333
343	30489
344	30571
345	30595
346	30613
347	30697
348	30760
349	30828
350	30888
351	30949
352	30991
353	31108
354	31249
355	31288
356	31309
357	31317
358	31334
359	31417
360	31513
361	31516
362	31519
363	31629
364	31963
365	32000
366	32004
367	32009
368	32129
369	32303
370	32381
371	32594
372	32657
373	32670
374	32951
375	32987
376	33075
377	33138
378	33234
379	33264
380	33267
381	33270
382	33273
383	33560
384	33672
385	33683
386	34284
387	34308
388	34314
389	34371
390	34646
391	34647
392	34755
393	34767
394	34797
395	34833
396	34944
397	34980
398	34995
399	35355
400	35508
401	35930
402	36154
403	36160
404	36629
405	37306
406	37321
407	37393
408	37452
409	37528
410	37558
411	37609
412	37614
413	37678
414	37998
415	38022
416	38037
417	38211
418	38282
419	38331
420	38535
421	38577
422	38699
423	38724
424	38919
425	38922
426	39149
427	39172
428	39173
429	39288
430	39372
431	39630
432	39934
433	40026
434	40032
435	40436
436	40446
437	40453
438	40457
439	40898
440	40982
441	41007
442	41008
443	41078
444	41079
445	41089
446	41110
447	41163
448	41309
449	41325
450	41490
451	41684
452	42057
453	42093
454	42120
455	42213
456	42216
457	42234
458	42549
459	42558
460	42793
461	43633
462	43718
463	43932
464	43996
465	44248
466	44317
467	44449
468	44458
469	44551
470	44809
471	45472
472	45566
473	45639
474	45640
475	45728
476	45733
477	45794
478	45999
479	46002
480	46216
481	46246
482	46269
483	46276
484	46303
485	46304
486	46321
487	46550
488	46582
489	46650
490	47391
491	47470
492	47521
493	47758
494	47865
495	48053
496	48066
497	48076
498	48145
499	48192
500	48338
501	48412
502	48421
503	48526
504	48637
505	48648
506	48663
507	48793
508	48830
509	49105
510	49282
511	49639
512	49657
513	49672
514	49770
515	49807
516	49850
517	49988
518	50019
519	50128
520	50197
521	50490
522	50527
523	50530
524	50560
525	50617
526	50796
527	50809
528	50842
529	50897
530	51019
531	51298
532	51313
533	51406
534	51496
535	51499
536	51505
537	54095
538	54261
539	54304
540	54331
541	54346
542	54394
543	54401
544	54539
545	54541
546	56102
547	56131
548	56270
549	56273
550	56522
551	56589
552	56677
553	56707
554	56946
555	57049
556	57088
557	57099
558	57110
559	57196
560	57217
561	57263
562	57299
563	57442
564	57452
565	57464
566	57519
567	57962
568	58169
569	58295
570	58542
571	58545
572	58549
573	58553
574	58562
575	58566
576	58570
577	58574
578	58585
579	58586
580	59184
581	59226
582	59232
583	59304
584	59640
585	59971
586	59982
587	60205
588	60246
589	60262
590	60272
591	60273
592	60283
593	60287
594	60291
595	60414
596	60445
597	60513
598	60784
599	61078
600	61750
601	62208
602	62320
603	62361
604	62574
605	62708
606	62806
607	62869
608	62876
609	62923
610	62973
611	62986
612	63029
613	63040
614	63407
615	63539
616	63674
617	63686
618	64139
619	64156
620	64193
621	64218
622	64235
623	64319
624	64325
625	64511
626	64598
627	64617
628	64673
629	64690
630	64716
631	64822
632	64947
633	65062
634	65296
635	65389
636	65621
637	65725
638	65747
639	65830
640	65898
641	65942
642	65997
643	66018
644	66084
645	66103
646	66223
647	66268
648	66290
649	66590
650	66971
651	66980
652	67056
653	67175
654	67442
655	67537
656	67538
657	67539
658	67691
659	67784
660	67950
661	67968
662	67984
663	68012
664	68090
665	68142
666	68150
667	68158
668	68159
669	68168
670	68203
671	68317
672	68341
673	68639
674	68723
675	69188
676	69627
677	69738
678	69934
679	69935
680	70355
681	70466
682	70863
683	71086
684	71092
